adm	Правительство_РК
minpr	Министерство_природных_ресурсов_и_охраны_окружающей_среды_РК
minfin	Министерство_финансов_РК
mincult	Министерство_культуры_РК
minshp	Министерство_сельского_хозяйства_и_продовольствия_РК
minek	Министерство_экономического_развития_РК
minobr	Министерство_образования_РК
minzdrav	Министерство_здравоохранения_РК
minnac	Министерство_национальной_политики_РК
minprom	Министерство_промышленности_и_энергетики_РК
minarh	Министерство_архитектуры,_строительства_и_коммунального_хозяйства_РК
pmc	Агентство_РК_по_печати_и_массовым_коммуникациям
zags	Управление_записей_актов_гражданского_состояния_РК
sport	Агентство_РК_по_физической_культуре_и_спорту
lic	Служба_РК_по_лицензированию
vet	Служба_РК_по_ветеринарному_надзору
arhiv	Архивное_агентство_РК
ui	Агентство_РК_по_управлению_имуществом
zn	Управление_РК_по_занятости_населения
mirsud	Управление_РК_по_организационному_обеспечению_деятельности_мировых_судей
tarif	Служба_РК_по_тарифам
go	Комитет_по_обеспечению_мероприятий_гражданской_защиты_РК
dor	Дорожное_агентство_РК
soc	Агентство_РК_по_социальному_развитию
les	Комитет_лесов_РК
tn	Служба_РК_по_техническому_надзору
uggs	Управление_государственной_гражданской_службы_РК
pravchel	Аппарат_уполномоченного_по_правам_человека
deti	Уполномоченный_по_правам_ребѐнка
zhil	Государственная_жилищная_инспекция_РК
izbirkom	Избирательная_комиссия_РК
ksp	Контрольно-счетная_палата_РК
pprf	Представительство_РК_при_президенте_РФ
psz	Представительство_РК_в_Северо-Западном_регионе_РФ
gs	Государственный_совет_РК
